,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REGION,,,HOMELESS,,,GENDER,,,,,,AGE GROUPS,,,,,ACCOMMODATION TYPE *,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADULTS,,,Male,,,Female,,,18-24,,,25-44,,,45-64,,,65+,,,PEA,,,STA,,,TEA,,,Other,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dublin,3406,,1833,,1573,,573,,2111,,674,,48,,1471,,1959,,78,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid-East,251,,144,,107,,36,,148,,53,,14,,138,,86,,27,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midlands,82,,36,,46,,21,,49,,11,,1,,41,,41,,0,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid-West,317,,185,,132,,42,,196,,72,,7,,82,,204,,32,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North-East,115,,70,,45,,11,,77,,23,,4,,61,,54,,0,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North-West,56,,47,,9,,6,,34,,16,,0,,4,,28,,10,,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South-East,298,,200,,98,,49,,165,,73,,11,,114,,162,,3,,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,South-West,313,,203,,110,,34,,190,,81,,8,,127,,191,,0,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,West,208,,132,,76,,30,,100,,74,,4,,93,,115,,2,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,5046,,2850,,2196,,802,,3070,,1077,,97,,2131,,2840,,152,,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
